"id","zeeid","zipcode","type"
"1","606","08003","POL"
"2","606","08010","POL"
"3","606","08034","POL"
"4","606","08046","POL"
"5","606","08054","POL"
"6","606","08002","POL"
"7","606","08052","POL"
"8","606","08057","POL"
"9","606","08075","POL"
"10","606","08076","POL"
"11","606","08077","POL"
"12","993","93203","POL"
"13","993","93241","POL"
"14","993","93304","POL"
"15","993","93306","POL"
"16","993","93307","POL"
"17","993","93383","POL"
"18","993","93384","POL"
"19","993","93385","POL"
"20","993","93386","POL"
"21","993","93387","POL"
"22","993","93301","POL"
"23","993","93302","POL"
"24","993","93303","POL"
"25","993","93305","POL"
"26","993","93308","POL"
"27","993","93380","POL"
"28","993","93388","POL"
"29","1011","35068","POL"
"30","1011","35071","POL"
"31","1011","35207","POL"
"32","1011","35215","POL"
"33","1011","35217","POL"
"34","1011","35220","POL"
"35","1011","35238","POL"
"36","1011","35242","POL"
"37","1011","35015","POL"
"38","1011","35201","POL"
"39","1011","35202","POL"
"40","1011","35203","POL"
"41","1011","35205","POL"
"42","1011","35206","POL"
"43","1011","35210","POL"
"44","1011","35212","POL"
"45","1011","35213","POL"
"46","1011","35222","POL"
"47","1011","35232","POL"
"48","1011","35233","POL"
"49","1011","35234","POL"
"50","1011","35237","POL"
"51","1011","35246","POL"
"52","1011","35249","POL"
"53","1011","35253","POL"
"54","1011","35255","POL"
"55","1011","35261","POL"
"56","1011","35270","POL"
"57","1011","35282","POL"
"58","1011","35283","POL"
"59","1011","35285","POL"
"60","1011","35287","POL"
"61","1011","35288","POL"
"62","1011","35290","POL"
"63","1011","35291","POL"
"64","1011","35292","POL"
"65","1011","35293","POL"
"66","1011","35294","POL"
"67","1011","35296","POL"
"68","1011","35297","POL"
"69","1011","35298","POL"
"70","1016","70003","POL"
"71","1016","70033","POL"
"72","1016","70062","POL"
"73","1016","70063","POL"
"74","1016","70064","POL"
"75","1016","70065","POL"
"76","1016","70097","POL"
"77","1016","70123","POL"
"78","1016","70181","POL"
"79","1016","70183","POL"
"80","1016","70001","POL"
"81","1016","70002","POL"
"82","1016","70004","POL"
"83","1016","70005","POL"
"84","1016","70006","POL"
"85","1016","70009","POL"
"86","1016","70010","POL"
"87","1016","70011","POL"
"88","1016","70055","POL"
"89","1016","70060","POL"
"90","1016","70121","POL"
"91","1016","70141","POL"
"92","1018","97106","POL"
"93","1018","97123","POL"
"94","1018","97124","POL"
"95","1018","97129","POL"
"96","1018","97133","POL"
"97","1018","97005","POL"
"98","1018","97007","POL"
"99","1018","97008","POL"
"100","1018","97075","POL"
"101","1018","97076","POL"
"102","1018","97077","POL"
"103","1018","97079","POL"
"104","1018","97223","POL"
"105","1018","97281","POL"
"106","1023","92563","POL"
"107","1023","92564","POL"
"108","1023","92590","POL"
"109","1023","92592","POL"
"110","1023","92593","POL"
"111","1023","92562","POL"
"112","1023","92589","POL"
"113","1023","92591","POL"
"114","1024","38017","POL"
"115","1024","38018","POL"
"116","1024","38027","POL"
"117","1024","38088","POL"
"118","1024","38119","POL"
"119","1024","38138","POL"
"120","1024","38139","POL"
"121","1024","38183","POL"
"122","1024","38187","POL"
"123","1024","38016","POL"
"124","1024","38029","POL"
"125","1024","38133","POL"
"126","1024","38134","POL"
"127","1024","38135","POL"
"128","1024","38184","POL"
"129","1025","01507","POL"
"130","1025","01508","POL"
"131","1025","01509","POL"
"132","1025","01516","POL"
"133","1025","01519","POL"
"134","1025","01524","POL"
"135","1025","01526","POL"
"136","1025","01527","POL"
"137","1025","01534","POL"
"138","1025","01536","POL"
"139","1025","01537","POL"
"140","1025","01538","POL"
"141","1025","01540","POL"
"142","1025","01542","POL"
"143","1025","01550","POL"
"144","1025","01562","POL"
"145","1025","01569","POL"
"146","1025","01570","POL"
"147","1025","01571","POL"
"148","1025","01586","POL"
"149","1025","01588","POL"
"150","1025","01590","POL"
"151","1025","01611","POL"
"152","1025","01501","POL"
"153","1025","01602","POL"
"154","1025","01603","POL"
"155","1025","01607","POL"
"156","1025","01608","POL"
"157","1025","01610","POL"
"158","1025","01614","POL"
"159","1029","33431","POL"
"160","1029","33434","POL"
"161","1029","33437","POL"
"162","1029","33446","POL"
"163","1029","33448","POL"
"164","1029","33464","POL"
"165","1029","33474","POL"
"166","1029","33481","POL"
"167","1029","33487","POL"
"168","1029","33496","POL"
"169","1029","33499","POL"
"170","1029","33444","POL"
"171","1029","33445","POL"
"172","1029","33482","POL"
"173","1029","33483","POL"
"174","1029","33484","POL"
"175","1030","65619","POL"
"176","1030","65714","POL"
"177","1030","65804","POL"
"178","1030","65807","POL"
"179","1030","65808","POL"
"180","1030","65809","POL"
"181","1030","65810","POL"
"182","1030","65802","POL"
"183","1030","65803","POL"
"184","1030","65805","POL"
"185","1030","65806","POL"
"186","1030","65814","POL"
"187","1030","65817","POL"
"188","1030","65890","POL"
"189","1030","65899","POL"
"190","1031","60401","POL"
"191","1031","60417","POL"
"192","1031","60423","POL"
"193","1031","60449","POL"
"194","1031","60901","POL"
"195","1031","60917","POL"
"196","1031","60935","POL"
"197","1031","60940","POL"
"198","1031","60941","POL"
"199","1031","60954","POL"
"200","1031","60964","POL"
"201","1031","60408","POL"
"202","1031","60410","POL"
"203","1031","60421","POL"
"204","1031","60442","POL"
"205","1031","60468","POL"
"206","1031","60481","POL"
"207","1031","60913","POL"
"208","1031","60914","POL"
"209","1031","60915","POL"
"210","1031","60950","POL"
"211","1032","60455","POL"
"212","1032","60456","POL"
"213","1032","60459","POL"
"214","1032","60465","POL"
"215","1032","60652","POL"
"216","1032","60655","POL"
"217","1032","60805","POL"
"218","1032","60415","POL"
"219","1032","60453","POL"
"220","1032","60454","POL"
"221","1032","60482","POL"
"222","1032","60803","POL"
"223","1037","12205","POL"
"224","1037","12212","POL"
"225","1037","12214","POL"
"226","1037","12223","POL"
"227","1037","12227","POL"
"228","1037","12228","POL"
"229","1037","12229","POL"
"230","1037","12230","POL"
"231","1037","12231","POL"
"232","1037","12232","POL"
"233","1037","12233","POL"
"234","1037","12235","POL"
"235","1037","12236","POL"
"236","1037","12237","POL"
"237","1037","12238","POL"
"238","1037","12240","POL"
"239","1037","12241","POL"
"240","1037","12243","POL"
"241","1037","12244","POL"
"242","1037","12245","POL"
"243","1037","12246","POL"
"244","1037","12247","POL"
"245","1037","12248","POL"
"246","1037","12249","POL"
"247","1037","12250","POL"
"248","1037","12255","POL"
"249","1037","12257","POL"
"250","1037","12260","POL"
"251","1037","12261","POL"
"252","1037","12288","POL"
"253","1037","12303","POL"
"254","1037","12304","POL"
"255","1037","12309","POL"
"256","1037","12047","POL"
"257","1037","12110","POL"
"258","1037","12128","POL"
"259","1037","12189","POL"
"260","1037","12203","POL"
"261","1037","12204","POL"
"262","1037","12206","POL"
"263","1037","12211","POL"
"264","1038","36571","POL"
"265","1038","36601","POL"
"266","1038","36602","POL"
"267","1038","36603","POL"
"268","1038","36604","POL"
"269","1038","36605","POL"
"270","1038","36607","POL"
"271","1038","36610","POL"
"272","1038","36611","POL"
"273","1038","36615","POL"
