"id","city","city_slug","state","zipcode","lat","lng"
"1","Prairie Ridge","prairie-ridge","WA","98360",NULL,NULL
"2","Prairie Ridge","prairie-ridge","WA","98391",NULL,NULL
"3","Edison","edison","WA","98232",NULL,NULL
"4","Packwood","packwood","WA","98361",NULL,NULL
"5","Wautauga Beach","wautauga-beach","WA","98366",NULL,NULL
"6","Harper","harper","WA","98366",NULL,NULL
"7","Telma","telma","WA","98826",NULL,NULL
"8","Kahlotus","kahlotus","WA","99335",NULL,NULL
"9","Mondovi","mondovi","WA","99122",NULL,NULL
"10","Washtucna","washtucna","WA","99371",NULL,NULL
"11","Pleasant Hill","pleasant-hill","WA","98014",NULL,NULL
"12","Toledo","toledo","WA","98591",NULL,NULL
"13","Wabash","wabash","WA","98022",NULL,NULL
"14","Renton","renton","WA","98059",NULL,NULL
"15","Renton","renton","WA","98058",NULL,NULL
"16","Renton","renton","WA","98057",NULL,NULL
"17","Renton","renton","WA","98056",NULL,NULL
"18","Renton","renton","WA","98055",NULL,NULL
"19","Chehalis","chehalis","WA","98532",NULL,NULL
"20","Central Valley","central-valley","WA","98370",NULL,NULL
"21","Lake City","lake-city","WA","98498",NULL,NULL
"22","Megler","megler","WA","98638",NULL,NULL
"23","Alder","alder","WA","98328",NULL,NULL
"24","Ronald","ronald","WA","98940",NULL,NULL
"25","Belvedere","belvedere","WA","99116",NULL,NULL
"26","Waverly","waverly","WA","99012",NULL,NULL
"27","Waverly","waverly","WA","99039",NULL,NULL
"28","Turner Corner","turner-corner","WA","98072",NULL,NULL
"29","Lofall","lofall","WA","98370",NULL,NULL
"30","Kennydale","kennydale","WA","98056",NULL,NULL
"31","Easton","easton","WA","98925",NULL,NULL
"32","Navy Yard City","navy-yard-city","WA","98312",NULL,NULL
"33","Mercer Island","mercer-island","WA","98040",NULL,NULL
"34","Lynnwood","lynnwood","WA","98037",NULL,NULL
"35","Lynnwood","lynnwood","WA","98036",NULL,NULL
"36","Lynnwood","lynnwood","WA","98046",NULL,NULL
"37","Coulee City","coulee-city","WA","99115",NULL,NULL
"38","Douglas","douglas","WA","98858",NULL,NULL
"39","Centralia","centralia","WA","98531",NULL,NULL
"40","Colbert","colbert","WA","99005",NULL,NULL
"41","Bryn Mawr","bryn-mawr","WA","98178",NULL,NULL
"42","Silverdale","silverdale","WA","98311",NULL,NULL
"43","Silverdale","silverdale","WA","98370",NULL,NULL
"44","Silverdale","silverdale","WA","98383",NULL,NULL
"45","Lyle","lyle","WA","98635",NULL,NULL
"46","Malott","malott","WA","98840",NULL,NULL
"47","Malott","malott","WA","98829",NULL,NULL
"48","Mountlake Terrace","mountlake-terrace","WA","98043",NULL,NULL
"49","Ilwaco","ilwaco","WA","98624",NULL,NULL
"50","Fairwood","fairwood","WA","98058",NULL,NULL
"51","Warm Beach","warm-beach","WA","98292",NULL,NULL
"52","Thomas","thomas","WA","98002",NULL,NULL
"53","Parker","parker","WA","98939",NULL,NULL
"54","Parker","parker","WA","98951",NULL,NULL
"55","Steptoe","steptoe","WA","99111",NULL,NULL
"56","Steptoe","steptoe","WA","99174",NULL,NULL
"57","Vail","vail","WA","98576",NULL,NULL
"58","Magnolia Beach","magnolia-beach","WA","98070",NULL,NULL
"59","Lakeview","lakeview","WA","98499",NULL,NULL
"60","Shaw Island","shaw-island","WA","98286",NULL,NULL
"61","Oakesdale","oakesdale","WA","99158",NULL,NULL
"62","Rosburg","rosburg","WA","98643",NULL,NULL
"63","Seattle","seattle","WA","98109",NULL,NULL
"64","Seattle","seattle","WA","98108",NULL,NULL
"65","Seattle","seattle","WA","98104",NULL,NULL
"66","Seattle","seattle","WA","98107",NULL,NULL
"67","Seattle","seattle","WA","98106",NULL,NULL
"68","Seattle","seattle","WA","98101",NULL,NULL
"69","Seattle","seattle","WA","98103",NULL,NULL
"70","Seattle","seattle","WA","98102",NULL,NULL
"71","Seattle","seattle","WA","98105",NULL,NULL
"72","Seattle","seattle","WA","98154",NULL,NULL
"73","Seattle","seattle","WA","98122",NULL,NULL
"74","Seattle","seattle","WA","98121",NULL,NULL
"75","Seattle","seattle","WA","98126",NULL,NULL
"76","Seattle","seattle","WA","98125",NULL,NULL
"77","Seattle","seattle","WA","98178",NULL,NULL
"78","Seattle","seattle","WA","98174",NULL,NULL
"79","Seattle","seattle","WA","98177",NULL,NULL
"80","Seattle","seattle","WA","98144",NULL,NULL
"81","Seattle","seattle","WA","98146",NULL,NULL
"82","Seattle","seattle","WA","98195",NULL,NULL
"83","Seattle","seattle","WA","98199",NULL,NULL
"84","Seattle","seattle","WA","98118",NULL,NULL
"85","Seattle","seattle","WA","98119",NULL,NULL
"86","Seattle","seattle","WA","98116",NULL,NULL
"87","Seattle","seattle","WA","98117",NULL,NULL
"88","Seattle","seattle","WA","98115",NULL,NULL
"89","Seattle","seattle","WA","98112",NULL,NULL
"90","Seattle","seattle","WA","98164",NULL,NULL
"91","Seattle","seattle","WA","98134",NULL,NULL
"92","Seattle","seattle","WA","98136",NULL,NULL
"93","Seattle","seattle","WA","98133",NULL,NULL
"94","Seattle","seattle","WA","98111",NULL,NULL
"95","Seattle","seattle","WA","98113",NULL,NULL
"96","Seattle","seattle","WA","98114",NULL,NULL
"97","Seattle","seattle","WA","98124",NULL,NULL
"98","Seattle","seattle","WA","98127",NULL,NULL
"99","Seattle","seattle","WA","98129",NULL,NULL
"100","Seattle","seattle","WA","98139",NULL,NULL
"101","Seattle","seattle","WA","98141",NULL,NULL
"102","Seattle","seattle","WA","98145",NULL,NULL
"103","Seattle","seattle","WA","98161",NULL,NULL
"104","Seattle","seattle","WA","98165",NULL,NULL
"105","Seattle","seattle","WA","98170",NULL,NULL
